epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1593.57,2.3644,0.41772,0.86709,2.78643,0.00331096,0.00331096,0.00331096
2,3116.38,1.49805,0.47627,0.88291,2.71987,0.00662237,0.00662237,0.00662237
3,4629.34,1.31553,0.32437,0.80063,2.84643,0.00991178,0.00991178,0.00991178
4,6157.23,1.30719,0.40506,0.81013,2.76334,0.009901,0.009901,0.009901
5,7675.57,1.25383,0.4557,0.93354,2.69634,0.009868,0.009868,0.009868
6,9205.93,1.20508,0.54272,0.95253,2.62568,0.009835,0.009835,0.009835
7,10730.2,1.20036,0.43513,0.93513,2.72273,0.009802,0.009802,0.009802
8,12269.5,1.12314,0.50949,0.95728,2.64078,0.009769,0.009769,0.009769
9,13790.4,1.06061,0.49209,0.95095,2.67535,0.009736,0.009736,0.009736
10,15320.5,1.04723,0.50949,0.96835,2.63106,0.009703,0.009703,0.009703
11,16851.1,1.04095,0.54272,0.9731,2.58967,0.00967,0.00967,0.00967
12,18377.2,0.96314,0.53797,0.94937,2.60015,0.009637,0.009637,0.009637
13,19894.5,0.91066,0.49525,0.95728,2.62789,0.009604,0.009604,0.009604
14,21423.9,0.90548,0.50475,0.96677,2.64132,0.009571,0.009571,0.009571
15,22949.9,0.88359,0.50791,0.9462,2.62386,0.009538,0.009538,0.009538
16,24481.8,0.8333,0.51741,0.97152,2.60268,0.009505,0.009505,0.009505
17,25996,0.81199,0.55854,0.96361,2.57908,0.009472,0.009472,0.009472
18,27532.1,0.80993,0.48259,0.94937,2.6434,0.009439,0.009439,0.009439
19,29059.2,0.785,0.53956,0.97468,2.58976,0.009406,0.009406,0.009406
20,30591.9,0.76754,0.48734,0.96677,2.62259,0.009373,0.009373,0.009373
21,32115.4,0.75971,0.52373,0.96677,2.60811,0.00934,0.00934,0.00934
22,33645.1,0.7369,0.47943,0.96677,2.6203,0.009307,0.009307,0.009307
23,35169.5,0.70594,0.47785,0.96361,2.6213,0.009274,0.009274,0.009274
24,36702.1,0.70931,0.50475,0.96994,2.60344,0.009241,0.009241,0.009241
25,38219.4,0.6857,0.44937,0.96044,2.64363,0.009208,0.009208,0.009208
26,39748.6,0.66704,0.51108,0.96044,2.59962,0.009175,0.009175,0.009175
27,41277.1,0.64738,0.48734,0.96203,2.61603,0.009142,0.009142,0.009142
28,42808.6,0.65911,0.50791,0.96677,2.6131,0.009109,0.009109,0.009109
29,44324,0.63565,0.46677,0.96677,2.62371,0.009076,0.009076,0.009076
30,45853.5,0.62368,0.51266,0.96994,2.5956,0.009043,0.009043,0.009043
31,47380.2,0.60634,0.46361,0.9557,2.62452,0.00901,0.00901,0.00901
32,48913.2,0.63451,0.47785,0.96677,2.60774,0.008977,0.008977,0.008977
33,50435.6,0.57599,0.4731,0.97785,2.62746,0.008944,0.008944,0.008944
34,51969.5,0.58571,0.51582,0.96519,2.60659,0.008911,0.008911,0.008911
35,53500.4,0.5961,0.48101,0.96361,2.61338,0.008878,0.008878,0.008878
36,55030.4,0.57044,0.48101,0.96519,2.60742,0.008845,0.008845,0.008845
37,56550,0.58703,0.49525,0.96519,2.61789,0.008812,0.008812,0.008812
38,58085.3,0.58967,0.46835,0.96835,2.63065,0.008779,0.008779,0.008779
39,59609.2,0.54757,0.46835,0.97627,2.62268,0.008746,0.008746,0.008746
40,61148.6,0.55706,0.4731,0.96677,2.63069,0.008713,0.008713,0.008713
41,62672.4,0.56962,0.46044,0.96044,2.62062,0.00868,0.00868,0.00868
42,64228.6,0.57104,0.46677,0.95886,2.62012,0.008647,0.008647,0.008647
43,65757.6,0.54024,0.47468,0.9731,2.61479,0.008614,0.008614,0.008614
44,67287,0.52199,0.48418,0.96994,2.60742,0.008581,0.008581,0.008581
45,68805.2,0.5565,0.46519,0.97152,2.62816,0.008548,0.008548,0.008548
46,70341.6,0.56743,0.48418,0.96519,2.61483,0.008515,0.008515,0.008515
47,71872.6,0.53391,0.46203,0.96519,2.62262,0.008482,0.008482,0.008482
48,73405.9,0.50055,0.47468,0.96044,2.61997,0.008449,0.008449,0.008449
49,74921.6,0.52597,0.46519,0.96519,2.62718,0.008416,0.008416,0.008416
50,76454.2,0.51277,0.47785,0.96203,2.62471,0.008383,0.008383,0.008383
51,77980.6,0.50259,0.4557,0.96994,2.62209,0.00835,0.00835,0.00835
52,79511.5,0.51056,0.46677,0.9731,2.61427,0.008317,0.008317,0.008317
53,81030.8,0.52255,0.49051,0.97627,2.60719,0.008284,0.008284,0.008284
54,82563.6,0.52509,0.4557,0.96044,2.63244,0.008251,0.008251,0.008251
55,84093.6,0.49878,0.46519,0.9731,2.62599,0.008218,0.008218,0.008218
56,85623.7,0.48839,0.47785,0.96994,2.61637,0.008185,0.008185,0.008185
57,87143,0.47563,0.44462,0.96994,2.63143,0.008152,0.008152,0.008152
58,88672.5,0.48807,0.44304,0.96994,2.63383,0.008119,0.008119,0.008119
59,90203.4,0.47402,0.47785,0.96677,2.62587,0.008086,0.008086,0.008086
60,91734.9,0.50299,0.48259,0.96994,2.62048,0.008053,0.008053,0.008053
61,93256.6,0.48881,0.43987,0.96044,2.63179,0.00802,0.00802,0.00802
62,94790.4,0.47932,0.45253,0.95095,2.62778,0.007987,0.007987,0.007987
63,96322.3,0.45938,0.4731,0.96361,2.62532,0.007954,0.007954,0.007954
64,97852.5,0.46541,0.44937,0.95411,2.63697,0.007921,0.007921,0.007921
65,99370.4,0.51516,0.46361,0.96044,2.62135,0.007888,0.007888,0.007888
66,100902,0.47467,0.4557,0.96519,2.62594,0.007855,0.007855,0.007855
67,102434,0.4652,0.44778,0.96677,2.63023,0.007822,0.007822,0.007822
68,103973,0.49491,0.44462,0.97468,2.63739,0.007789,0.007789,0.007789
69,105494,0.47572,0.45728,0.96994,2.63089,0.007756,0.007756,0.007756
70,107024,0.45532,0.43829,0.96519,2.64333,0.007723,0.007723,0.007723
71,108555,0.44774,0.47627,0.97943,2.61992,0.00769,0.00769,0.00769
72,110097,0.46591,0.47152,0.96835,2.62357,0.007657,0.007657,0.007657
73,111619,0.44172,0.47785,0.97627,2.6173,0.007624,0.007624,0.007624
74,113156,0.45709,0.47468,0.97468,2.61792,0.007591,0.007591,0.007591
75,114687,0.43694,0.46361,0.97468,2.62568,0.007558,0.007558,0.007558
76,116224,0.47025,0.46835,0.96994,2.62738,0.007525,0.007525,0.007525
