epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75676,2.60729,4.53663,2.03455,0.00435,0.65254,0.00489,0.00167,2.07137,4.07523,1.67058,0.00028,0.00028,0.00028
2,7.88783,2.14568,3.32679,1.60498,0.00554,0.83051,0.01512,0.0044,1.74381,3.93401,1.55153,0.000578852,0.000578852,0.000578852
3,11.0029,1.96984,2.57559,1.59048,0.00605,0.90678,0.11644,0.03082,2.18396,3.6529,2.09452,0.000876515,0.000876515,0.000876515
4,14.0299,1.87423,2.31004,1.53772,0.00627,0.94068,0.12211,0.05184,1.67356,3.56386,1.52792,0.00117299,0.00117299,0.00117299
5,17.052,1.83882,2.22547,1.55889,0.91356,0.17917,0.45977,0.2068,1.56828,3.08663,1.47488,0.00146828,0.00146828,0.00146828
6,20.129,1.79515,1.90309,1.52345,0.37979,0.31138,0.31003,0.12447,1.67183,2.84358,1.65072,0.00176238,0.00176238,0.00176238
7,23.0608,1.84216,1.86414,1.55704,0.58793,0.39902,0.56243,0.23072,1.70855,2.54845,1.70268,0.00197624,0.00197624,0.00197624
8,26.0677,1.82818,1.87265,1.51635,0.60297,0.72074,0.70487,0.31438,1.624,1.85003,1.4678,0.00197228,0.00197228,0.00197228
9,29.0787,1.74162,1.67281,1.40938,0.56338,0.59051,0.57417,0.2445,1.9521,2.04231,1.72539,0.00196832,0.00196832,0.00196832
10,31.9952,1.71507,1.64321,1.51127,0.54203,0.60169,0.53109,0.19074,2.05364,1.98341,1.88868,0.00196436,0.00196436,0.00196436
11,35.2918,1.63842,1.44752,1.433,0.70961,0.76271,0.79526,0.38739,1.624,1.36694,1.64222,0.0019604,0.0019604,0.0019604
12,38.2668,1.60579,1.43044,1.42032,0.72754,0.72034,0.79347,0.39268,1.65074,1.34261,1.62093,0.00195644,0.00195644,0.00195644
13,41.2118,1.61461,1.40681,1.39931,0.70601,0.87513,0.80348,0.43218,1.47696,1.27091,1.52792,0.00195248,0.00195248,0.00195248
14,44.2479,1.56288,1.31172,1.39031,0.78321,0.88136,0.86737,0.45904,1.46113,1.23006,1.49548,0.00194852,0.00194852,0.00194852
15,47.1509,1.56549,1.27576,1.37612,0.76149,0.89831,0.89301,0.49017,1.38314,1.23547,1.43685,0.00194456,0.00194456,0.00194456
16,50.1659,1.45103,1.22881,1.31353,0.80937,0.76271,0.8362,0.40306,1.44584,1.83894,1.49962,0.0019406,0.0019406,0.0019406
17,53.0699,1.53615,1.26509,1.38966,0.85096,0.8226,0.91461,0.47792,1.4283,1.30863,1.48005,0.00193664,0.00193664,0.00193664
18,56.0915,1.59637,1.24211,1.37644,0.82799,0.85667,0.88129,0.46124,1.51678,1.1538,1.56947,0.00193268,0.00193268,0.00193268
19,59.0735,1.55106,1.17168,1.37892,0.82897,0.80508,0.89243,0.46076,1.51645,1.09133,1.58024,0.00192872,0.00192872,0.00192872
20,62.1165,1.54367,1.19903,1.36249,0.85828,0.90678,0.93727,0.49478,1.53536,1.04432,1.56497,0.00192476,0.00192476,0.00192476
