epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.824,1.23288,4.01908,3.33708,1.70856,0.02098,0.70763,0.21883,0.0511,0.01934,0.50424,0.17643,0.03773,1.65737,4.67143,4.1198,2.23918,0.000175,0.000175,0.000175
2,460.285,0.91476,1.9299,2.53206,1.46783,0.01871,0.8178,0.44204,0.16159,0.01594,0.5678,0.35361,0.1581,1.44714,7.5047,4.05641,2.28038,0.000358911,0.000358911,0.000358911
3,684.202,0.86374,1.4069,1.75799,1.38449,0.01904,0.94915,0.59135,0.27502,0.00802,0.61441,0.39204,0.11795,1.47812,5.08953,3.76816,1.94825,0.00053911,0.00053911,0.00053911
4,906.602,0.82266,1.11803,1.33318,1.36406,0.9049,0.32335,0.90986,0.55455,0.92552,0.32203,0.7839,0.37177,1.26287,2.6407,3.37784,1.61871,0.000715596,0.000715596,0.000715596
5,1126.7,0.79417,0.99683,1.25733,1.33977,0.85254,0.34423,0.79174,0.48986,0.75481,0.33151,0.62998,0.36336,1.24513,1.97574,3.26707,1.75122,0.00088837,0.00088837,0.00088837
6,1347.22,0.73439,0.89691,1.09848,1.28693,0.61424,0.55085,0.6113,0.34612,0.59332,0.52488,0.578,0.33706,1.44674,2.58883,3.22029,1.8471,0.00105743,0.00105743,0.00105743
7,1565.37,0.74197,0.92448,1.09569,1.3076,0.88723,0.69212,0.94104,0.59151,0.78595,0.6162,0.78376,0.45828,1.30825,1.77976,2.86868,1.73798,0.00117575,0.00117575,0.00117575
8,1787.14,0.73288,0.85089,1.05865,1.26141,0.86196,0.86206,0.94745,0.57183,0.85197,0.85166,0.92702,0.54572,1.37939,0.99259,2.33443,1.65986,0.00116337,0.00116337,0.00116337
9,2008.18,0.68488,0.78097,0.97929,1.22169,0.60642,0.71792,0.76269,0.54019,0.60019,0.65599,0.66247,0.38459,1.50986,1.38361,2.43615,2.05736,0.001151,0.001151,0.001151
10,2230.3,0.63774,0.75086,0.92911,1.21305,0.90852,0.96204,0.98407,0.63191,0.88917,0.95574,0.94622,0.58062,1.24571,0.85408,1.95633,1.4496,0.00113863,0.00113863,0.00113863
11,2452.16,0.62775,0.77975,0.88464,1.2023,0.88877,0.9296,0.94537,0.64796,0.85901,0.91925,0.91367,0.57766,1.23186,1.02741,1.80915,1.89191,0.00112625,0.00112625,0.00112625
12,2671.5,0.62226,0.73234,0.87531,1.18973,0.9486,0.95487,0.97467,0.72657,0.94415,0.95064,0.97054,0.66766,1.03174,0.66487,1.54323,1.47896,0.00111388,0.00111388,0.00111388
